,line_name,alert_ids,full_text,start_time,end_time,reasons_set,mins_delay,reason_0,reason_1
0,CR-Franklin,465186, Franklin Line Train 1713 (6:45 pm from South Station) is operating 5-15 minutes behind schedule between Dedham Corporate Center and Forge Park.,2022-10-01 19:20:38,2022-10-01 20:47:00,None,5-15,,
1,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
2,CR-Kingston,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
3,CR-Fitchburg,465171, Fitchburg Line Train 1406 (12:00 pm from Wachusett) is operating 5-10 minutes behind schedule between South Acton and North Station.,2022-10-01 12:55:33,2022-10-01 14:34:00,None,5-10,,
4,CR-Fitchburg,465176, Please board Fitchburg Line Train 1407 (1:50 pm from North Station) on the inbound platform (Track 2) at Belmont and Waverley today. Please board Fitchburg Line Train 1407 (1:50 pm from North Station) on the inbound platform (Track 2) at Belmont and Waverley today.,2022-10-01 13:58:32,2022-10-01 16:27:00,None,,,
5,CR-Fairmount,465203, Fairmount Line Train 2907 (9:50 am from South Station) has not yet departed South Station and is 10-20 minutes late due to a signal issue. Fairmount Line Train 2907 (9:50 am from South Station) has departed South Station and is operating 15-25 minutes late due to a signal issue.,2022-10-02 09:59:26,2022-10-02 11:18:00,{'signal issue'},15-25,signal issue,
6,CR-Franklin,465194, Franklin Line Train 2701 (6:45 am from South Station) is operating 5-10 minutes behind schedule between Readville and Forge Park /495,2022-10-02 08:45:00,2022-10-02 08:47:00,None,5-10,,
7,CR-Franklin,465214, Franklin Line Train 2707 (12:45 pm from South Station) is operating 5-10 minutes behind schedule between Ruggles and Forge Park / 495.,2022-10-02 13:08:58,2022-10-02 14:47:00,None,5-10,,
8,CR-Franklin,465241, Franklin Line Train 2713 (6:45 pm from South Station) is operating 5-15 minutes behind schedule between Endicott and Forge Park/495.,2022-10-02 19:16:51,2022-10-02 20:47:00,None,5-15,,
9,CR-Greenbush,464776," On weekends, October 15th-16th and October 22nd-23rd, all Middleborough, Kingston & Greenbush trains will originate & terminate at Braintree to allow for track maintenance. Passengers will be accommodated by the Red Line between Braintree & South Station.",2022-09-29 12:00:09,2022-10-24 02:30:00,None,,,
